resume_text,job_description,match_score,match_label
"Data Scientist with 3 years working across active teams. Demonstrated technical execution and history background includes: Python, Architected distributed pipelines via Postgres, Subject matter expert in ML, Deep Learning Architectures, Subject matter expert in AWS. Seeking an engineering position to scale architectural patterns.","We are looking for a Quantitative Analytics Expert with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, PostgreSQL, Predictive AI, AI, Amazon Web Services. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.9027,high
"Terraform Engineer with 5 years working across active teams. Demonstrated technical execution and history background includes: Subject matter expert in OCI Containers, Led migration frameworks utilizing Kubernetes, Subject matter expert in AWS Cloud Platform, Infrastructure as Code (IaC), Py3 Engine. Seeking an engineering position to scale architectural patterns.","We are looking for a Infrastructure Platform Architect with a minimum of 6+ years of experience. The core technical stack requirements involve deep knowledge in: Docker Containers, Container Orchestration Engine, Cloud Infrastructure (AWS), Terraform, Python. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.8572,high
"Data Scientist with 8 years working across active teams. Demonstrated technical execution and history background includes: Academic projects utilizing Python, Predictive AI, Basic understanding of AI, Amazon Web Services. Seeking an engineering position to scale architectural patterns.","We are looking for a Quantitative Analytics Expert with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, Relational DB Engine, ML, GenAI, AWS Cloud Platform. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.8139,medium
"UI Engineer with 2 years working across active teams. Demonstrated technical execution and history background includes: Worked with Modern JS in minor capacity, React, NodeJS, Theoretical knowledge of Relational DB Engine. Seeking an engineering position to scale architectural patterns.","We are looking for a Backend Developer with a minimum of 5+ years of experience. The core technical stack requirements involve deep knowledge in: JavaScript, Frontend React Framework, NodeJS, PgSQL, TS, Containerization. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.0994,low
"Software Systems Developer with 1 years working across active teams. Demonstrated technical execution and history background includes: Basic understanding of JavaScript, Frontend React Framework, Theoretical knowledge of Relational DB Engine, TS. Seeking an engineering position to scale architectural patterns.","We are looking for a Server-Side Developer with a minimum of 4+ years of experience. The core technical stack requirements involve deep knowledge in: Modern JS, React.js, Server-side Runtime, PostgreSQL, TypeScript, Containerization. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.3697,low
"AI Engineer with 6 years working across active teams. Demonstrated technical execution and history background includes: Subject matter expert in Py3 Engine, Advanced optimization execution for Predictive AI, Advanced optimization execution for Deep Learning Architectures, Container Orchestration Engine, Subject matter expert in Containerization, Amazon Web Services. Seeking an engineering position to scale architectural patterns.","We are looking for a Computer Vision Scientist with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: Python, Machine Learning, Artificial Intelligence, K8s, Docker, Cloud Infrastructure (AWS). Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.9781,high
"Systems Automation Developer with 4 years working across active teams. Demonstrated technical execution and history background includes: Docker Containers, K8s, AWS Cloud Platform, Terraform, Python3. Seeking an engineering position to scale architectural patterns.","We are looking for a Site Reliability Engineer with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: OCI Containers, K8s, Amazon Web Services, Terraform, Python. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.9471,high
"DevOps Specialist with 5 years working across active teams. Demonstrated technical execution and history background includes: Architected distributed pipelines via OCI Containers, Kubernetes, AWS, Infrastructure as Code (IaC), Python3. Seeking an engineering position to scale architectural patterns.","We are looking for a Site Reliability Engineer with a minimum of 5+ years of experience. The core technical stack requirements involve deep knowledge in: OCI Containers, Container Orchestration Engine, Amazon Web Services, Infrastructure as Code (IaC), Py3 Engine. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.9059,high
"Deep Learning Practitioner with 0 years working across active teams. Demonstrated technical execution and history background includes: Python, Theoretical knowledge of Predictive AI, AWS Cloud Platform. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior ML Engineer with a minimum of 6+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, Predictive AI, Artificial Intelligence, Container Orchestration Engine, Docker, AWS. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.2092,low
"Machine Learning Specialist with 11 years working across active teams. Demonstrated technical execution and history background includes: Python, Kubernetes, Containerization. Seeking an engineering position to scale architectural patterns.","We are looking for a AI Infrastructure Architect with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: Py3 Engine, ML, Deep Learning Architectures, K8s, OCI Containers, Cloud Infrastructure (AWS). Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.8237,low
